Longitude,Slope,Intercept
0,0.72290201,1.550114326
-1,0.723241688,1.549714442
-2,0.722023338,1.547506646
-3,0.721517325,1.545100676
-4,0.723013963,1.543240678
-5,0.725278066,1.541978732
-6,0.727910246,1.541133086
-7,0.72694968,1.539627906
-8,0.725006133,1.53759893
-9,0.72493274,1.537001797
-10,0.724995166,1.536500735
-11,0.7244192,1.536182524
-12,0.722274074,1.535611943
-13,0.721795072,1.537045965
-14,0.720973861,1.53901114
-15,0.722516284,1.542127184
-16,0.723986708,1.543704797
-17,0.727673844,1.546381783
-18,0.729304928,1.548255635
-19,0.729417097,1.549154524
-20,0.730139028,1.549468746
-21,0.730022912,1.549450289
-22,0.730230561,1.549789377
-23,0.730019129,1.549563022
-24,0.728820075,1.547947742
-25,0.728322769,1.546389844
-26,0.727768041,1.546868078
-27,0.725318758,1.544921948
-28,0.723816474,1.542785754
-29,0.721676703,1.540892604
-30,0.720392815,1.540421148
-31,0.719263352,1.539585311
-32,0.717638736,1.538313073
-33,0.713460237,1.534566197
-34,0.706788797,1.527957284
-35,0.697943802,1.517920686
-36,0.691347687,1.506409288
-37,0.686371468,1.500355846
-38,0.682199827,1.49646306
-39,0.677396146,1.491056466
-40,0.672367151,1.484323601
-41,0.668763367,1.479752353
-42,0.667767252,1.477991312
-43,0.670950392,1.480531014
-44,0.677733377,1.48676573
-45,0.686841732,1.496868201
-46,0.693652907,1.508212914
-47,0.701233793,1.515852477
-48,0.707903559,1.521324449
-49,0.716863638,1.530205501
-50,0.725867609,1.539076135
-51,0.735828466,1.547130556
-52,0.743359308,1.552413139
-53,0.749395957,1.555993674
-54,0.746481891,1.552761766
-55,0.743164497,1.549939755
-56,0.737070656,1.544636997
-57,0.73435469,1.542667302
-58,0.732213284,1.540077073
-59,0.723424067,1.52982226
-60,0.71707482,1.520176503
-61,0.707455338,1.509373564
-62,0.701431263,1.502405266
-63,0.701118365,1.500598052
-64,0.718291739,1.515157188
-65,0.721650437,1.518398131
-66,0.725301074,1.522469857
-67,0.721834039,1.521490488
-68,0.724147274,1.525510981
-69,0.729542814,1.533514076
-70,0.734965568,1.541916063
-71,0.741015838,1.550497822
-72,0.741253129,1.551965128
-73,0.736526969,1.551076336
-74,0.732333452,1.550015088
-75,0.72976167,1.549070092
-76,0.730560791,1.550812384
-77,0.729942334,1.550816119
-78,0.728696378,1.549914218
-79,0.727955566,1.548588338
-80,0.725740573,1.548064862
-81,0.723407105,1.546720686
-82,0.720065195,1.547152558
-83,0.718180046,1.548353184
-84,0.718981004,1.548823056
-85,0.719708242,1.548885117
-86,0.72011536,1.548197303
-87,0.721342795,1.548198898
-88,0.722397344,1.548388198
-89,0.72471537,1.549009248
-90,0.727613453,1.54990228
-91,0.73185051,1.551360962
-92,0.733947703,1.553702881
-93,0.736676624,1.554926875
-94,0.737000895,1.557089047
-95,0.739143493,1.559428127
-96,0.740677215,1.562295614
-97,0.743661686,1.565402563
-98,0.746859348,1.568321376
-99,0.748920944,1.570737753
-100,0.751390246,1.572586379
-101,0.754087284,1.573673714
-102,0.756280813,1.573999077
-103,0.757916362,1.575114525
-104,0.759390871,1.575954952
-105,0.760663833,1.576690519
-106,0.760794018,1.577698614
-107,0.760200344,1.578018149
-108,0.757586022,1.578339164
-109,0.755237729,1.578071581
-110,0.753052018,1.577079765
-111,0.75191645,1.576053251
-112,0.751260799,1.574737556
-113,0.749227392,1.572489461
-114,0.747553401,1.570802485
-115,0.74577467,1.569658879
-116,0.743622932,1.56813222
-117,0.742803531,1.567016229
-118,0.743661308,1.566749931
-119,0.743987643,1.566886712
-120,0.744924772,1.568615543
-121,0.74420805,1.570442504
-122,0.743959954,1.572286511
-123,0.744651804,1.574264943
-124,0.745898782,1.575598517
-125,0.746273653,1.576093519
-126,0.747154334,1.57621341
-127,0.747494618,1.576679358
-128,0.748649575,1.577027474
-129,0.750346148,1.57687939
-130,0.75137828,1.576255646
-131,0.752265196,1.576121692
-132,0.75350733,1.576881092
-133,0.754239488,1.577784637
-134,0.754946409,1.579040872
-135,0.754804588,1.580700041
-136,0.755020798,1.582034751
